BPM, 145.00
OFFSET, -0.810
KeyMode: 4
SPEED, 1.0
SPEED, 8, 0, 1, 1
SPEED, 32, 0, 1, 1
SPEED, 39, 0, 1, 1
SPEED, 59, 1, 2, 1
SPEED, 73, 0, 1, 1
SPEED, 73, 1, 16, 4
NOTE, 0, 3, 4, 1, 1, 0, 0
NOTE, 1, 0, 1, 1, 0, 0, 1
NOTE, 1, 1, 16, 0, 0, 1, 0
NOTE, 1, 1, 8, 1, 0, 0, 0
NOTE, 1, 3, 16, 0, 1, 0, 0
NOTE, 1, 1, 4, 0, 0, 2, 0
NOTE, 1, 5, 16, 0, 0, 3, 0
NOTE, 1, 3, 8, 0, 0, 2, 0
NOTE, 1, 7, 16, 0, 0, 3, 0
NOTE, 1, 1, 2, 1, 0, 0, 1
NOTE, 1, 5, 8, 0, 2, 0, 0
NOTE, 1, 11, 16, 0, 3, 0, 0
NOTE, 1, 3, 4, 0, 0, 2, 0
NOTE, 1, 13, 16, 0, 0, 3, 0
NOTE, 1, 7, 8, 0, 0, 0, 2
NOTE, 1, 15, 16, 0, 0, 0, 3
NOTE, 2, 0, 1, 1, 1, 0, 0
NOTE, 2, 1, 16, 0, 0, 0, 1
NOTE, 2, 1, 8, 0, 1, 0, 0
NOTE, 2, 3, 16, 0, 0, 0, 1
NOTE, 2, 1, 4, 0, 0, 1, 0
NOTE, 2, 5, 16, 0, 1, 0, 0
NOTE, 2, 3, 8, 2, 0, 0, 0
NOTE, 2, 1, 2, 3, 0, 1, 1
NOTE, 2, 5, 8, 0, 1, 0, 0
NOTE, 2, 11, 16, 0, 0, 1, 0
NOTE, 2, 3, 4, 0, 0, 0, 1
NOTE, 2, 13, 16, 0, 1, 0, 0
NOTE, 2, 7, 8, 0, 0, 1, 0
NOTE, 3, 0, 1, 1, 0, 0, 1
NOTE, 3, 1, 16, 0, 1, 0, 0
NOTE, 3, 1, 8, 1, 0, 0, 0
NOTE, 3, 1, 4, 0, 1, 0, 0
NOTE, 3, 3, 8, 0, 1, 0, 0
NOTE, 3, 7, 16, 1, 0, 0, 0
NOTE, 3, 1, 2, 0, 0, 1, 1
NOTE, 3, 9, 16, 1, 0, 0, 0
NOTE, 3, 5, 8, 0, 1, 0, 0
NOTE, 3, 3, 4, 0, 0, 1, 0
NOTE, 3, 7, 8, 0, 0, 1, 0
NOTE, 4, 0, 1, 1, 0, 0, 1
