BPM, 86.00
OFFSET, -0.459
KeyMode: 4
SPEED, 1.00
SPEED, 19, 1, 32, 1.01
SPEED, 19, 1, 16, 1.02
SPEED, 19, 3, 32, 1.03
SPEED, 19, 1, 8, 1.04
SPEED, 19, 5, 32, 1.05
SPEED, 19, 3, 16, 1.06
SPEED, 19, 7, 32, 1.07
SPEED, 19, 1, 4, 1.08
SPEED, 19, 9, 32, 1.09
SPEED, 19, 5, 16, 1.10
SPEED, 19, 11, 32, 1.11
SPEED, 19, 3, 8, 1.12
SPEED, 19, 13, 32, 1.13
SPEED, 19, 7, 16, 1.14
SPEED, 19, 15, 32, 1.15
SPEED, 19, 1, 2, 1.16
SPEED, 19, 17, 32, 1.17
SPEED, 19, 9, 16, 1.18
SPEED, 19, 19, 32, 1.19
SPEED, 19, 5, 8, 1.20
SPEED, 19, 21, 32, 1.21
SPEED, 19, 11, 16, 1.22
SPEED, 19, 23, 32, 1.23
SPEED, 19, 3, 4, 1.24
SPEED, 19, 25, 32, 1.25
SPEED, 19, 13, 16, 1.26
SPEED, 19, 27, 32, 1.27
SPEED, 19, 7, 8, 1.28
SPEED, 19, 29, 32, 1.29
SPEED, 19, 15, 16, 1.30
SPEED, 19, 31, 32, 1.50
SPEED, 20, 5, 16, 0.50
SPEED, 20, 13, 32, 1.00
SPEED, 21, 0, 1, 1.00
SPEED, 31, 0, 1, 1.00
NOTE, 1, 0, 1, 0, 1, 2, 0
NOTE, 1, 1, 4, 1, 0, 0, 1
NOTE, 2, 0, 1, 1, 2, 3, 0
NOTE, 2, 1, 4, 0, 0, 0, 1
NOTE, 2, 3, 8, 0, 0, 1, 0
NOTE, 2, 5, 8, 0, 0, 1, 0
NOTE, 2, 3, 4, 2, 3, 0, 1
NOTE, 2, 7, 8, 0, 1, 0, 0
NOTE, 3, 0, 1, 3, 0, 1, 2
NOTE, 3, 1, 4, 1, 0, 0, 0
NOTE, 3, 5, 8, 0, 1, 0, 0
NOTE, 3, 3, 4, 1, 0, 2, 3
NOTE, 4, 0, 1, 0, 1, 3, 2
NOTE, 4, 1, 4, 1, 0, 0, 0
NOTE, 4, 1, 2, 2, 0, 1, 3
NOTE, 5, 0, 1, 3, 2, 1, 0
NOTE, 5, 1, 4, 0, 0, 0, 1
NOTE, 5, 1, 2, 1, 3, 2, 0
NOTE, 5, 7, 8, 0, 1, 0, 0
NOTE, 6, 0, 1, 1, 0, 3, 2
NOTE, 6, 1, 4, 1, 0, 0, 0
NOTE, 6, 1, 2, 0, 2, 1, 3
NOTE, 6, 7, 8, 1, 0, 0, 0
NOTE, 6, 15, 16, 0, 0, 1, 0
NOTE, 7, 0, 1, 1, 3, 0, 2
NOTE, 7, 1, 8, 0, 1, 0, 0
NOTE, 7, 1, 4, 0, 0, 1, 0
NOTE, 7, 3, 8, 2, 1, 0, 3
